study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,condition,proximity_in_seconds,composite_index_in_seconds,begging_in_seconds,time_in_seconds
amici2012aversion,2,food_distribution,2005,1,24,kuno,8,m,focal_participant,joey,22,m,partner,bonobo,kuno_joey,baseline_2,58,0.0,0,58.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,joey,22,m,partner,bonobo,kuno_joey,baseline_3,49,0.0,0,49.0
amici2012aversion,2,food_distribution,2005,1,24,kuno,8,m,focal_participant,joey,22,m,partner,bonobo,kuno_joey,equal,154,0.0,0,154.0
amici2012aversion,2,food_distribution,2005,1,20,kuno,8,m,focal_participant,joey,22,m,partner,bonobo,kuno_joey,unequal,91,15.0,0,91.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,joey,22,m,partner,bonobo,kuno_joey,unequal-part_1,39,0.0,0,39.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,joey,22,m,partner,bonobo,kuno_joey,unequal-part_2,35,0.0,0,35.0
amici2012aversion,2,food_distribution,2005,1,24,kuno,8,m,focal_participant,limbuko,9,m,partner,bonobo,kuno_limbuko,baseline_1,44,0.0,0,44.0
amici2012aversion,2,food_distribution,2005,1,20,kuno,8,m,focal_participant,limbuko,9,m,partner,bonobo,kuno_limbuko,baseline_2,46,0.0,0,46.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,limbuko,10,m,partner,bonobo,kuno_limbuko,baseline_3,31,0.0,0,31.0
amici2012aversion,2,food_distribution,2005,1,20,kuno,8,m,focal_participant,limbuko,9,m,partner,bonobo,kuno_limbuko,equal,96,0.0,0,96.0
amici2012aversion,2,food_distribution,2005,1,24,kuno,8,m,focal_participant,limbuko,9,m,partner,bonobo,kuno_limbuko,unequal,99,0.0,0,99.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,limbuko,10,m,partner,bonobo,kuno_limbuko,unequal-part_1,26,0.0,0,30.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,limbuko,10,m,partner,bonobo,kuno_limbuko,unequal-part_2,25,0.0,0,25.0
amici2012aversion,2,food_distribution,2005,1,24,kuno,8,m,focal_participant,ulindi,11,f,partner,bonobo,kuno_ulindi,baseline_1,42,0.0,0,42.0
amici2012aversion,2,food_distribution,2005,1,20,kuno,8,m,focal_participant,ulindi,11,f,partner,bonobo,kuno_ulindi,baseline_2,127,0.0,0,127.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,ulindi,12,f,partner,bonobo,kuno_ulindi,baseline_3,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,kuno,8,m,focal_participant,ulindi,11,f,partner,bonobo,kuno_ulindi,equal,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,kuno,8,m,focal_participant,ulindi,11,f,partner,bonobo,kuno_ulindi,unequal,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,ulindi,12,f,partner,bonobo,kuno_ulindi,unequal-part_1,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,ulindi,12,f,partner,bonobo,kuno_ulindi,unequal-part_2,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,kuno,8,m,focal_participant,yasa,7,f,partner,bonobo,kuno_yasa,baseline_1,52,23.0,0,52.0
amici2012aversion,2,food_distribution,2005,1,24,kuno,8,m,focal_participant,yasa,7,f,partner,bonobo,kuno_yasa,baseline_2,54,0.0,0,54.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,yasa,8,f,partner,bonobo,kuno_yasa,baseline_3,38,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,1,24,kuno,8,m,focal_participant,yasa,7,f,partner,bonobo,kuno_yasa,equal,97,0.0,0,97.0
amici2012aversion,2,food_distribution,2005,1,20,kuno,8,m,focal_participant,yasa,7,f,partner,bonobo,kuno_yasa,unequal,106,20.0,0,106.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,yasa,8,f,partner,bonobo,kuno_yasa,unequal-part_1,32,0.0,0,70.0
amici2012aversion,2,food_distribution,2005,11,9,kuno,8,m,focal_participant,yasa,8,f,partner,bonobo,kuno_yasa,unequal-part_2,40,0.0,0,40.0
amici2012aversion,2,food_distribution,2005,1,20,limbuko,9,m,focal_participant,joey,22,m,partner,bonobo,limbuko_joey,baseline_1,50,0.0,12,50.0
amici2012aversion,2,food_distribution,2005,1,24,limbuko,9,m,focal_participant,joey,22,m,partner,bonobo,limbuko_joey,baseline_2,53,0.0,11,53.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,joey,22,m,partner,bonobo,limbuko_joey,baseline_3,38,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,1,24,limbuko,9,m,focal_participant,joey,22,m,partner,bonobo,limbuko_joey,equal,93,0.0,21,93.0
amici2012aversion,2,food_distribution,2005,1,20,limbuko,9,m,focal_participant,joey,22,m,partner,bonobo,limbuko_joey,unequal,99,3.0,23,99.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,joey,22,m,partner,bonobo,limbuko_joey,unequal-part_1,41,2.0,0,43.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,joey,22,m,partner,bonobo,limbuko_joey,unequal-part_2,43,1.0,0,43.0
amici2012aversion,2,food_distribution,2005,1,24,limbuko,9,m,focal_participant,kuno,8,m,partner,bonobo,limbuko_kuno,baseline_1,44,0.0,7,44.0
amici2012aversion,2,food_distribution,2005,1,20,limbuko,9,m,focal_participant,kuno,8,m,partner,bonobo,limbuko_kuno,baseline_2,46,0.0,9,46.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,kuno,8,m,partner,bonobo,limbuko_kuno,baseline_3,31,0.0,0,31.0
amici2012aversion,2,food_distribution,2005,1,20,limbuko,9,m,focal_participant,kuno,8,m,partner,bonobo,limbuko_kuno,equal,96,0.0,26,96.0
amici2012aversion,2,food_distribution,2005,1,24,limbuko,9,m,focal_participant,kuno,8,m,partner,bonobo,limbuko_kuno,unequal,99,0.0,21,99.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,kuno,8,m,partner,bonobo,limbuko_kuno,unequal-part_1,26,0.0,0,30.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,kuno,8,m,partner,bonobo,limbuko_kuno,unequal-part_2,25,0.0,0,25.0
amici2012aversion,2,food_distribution,2005,1,20,limbuko,9,m,focal_participant,ulindi,11,f,partner,bonobo,limbuko_ulindi,baseline_1,94,0.0,0,94.0
amici2012aversion,2,food_distribution,2005,1,24,limbuko,9,m,focal_participant,ulindi,11,f,partner,bonobo,limbuko_ulindi,baseline_2,38,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,ulindi,12,f,partner,bonobo,limbuko_ulindi,baseline_3,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,limbuko,9,m,focal_participant,ulindi,11,f,partner,bonobo,limbuko_ulindi,equal,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,limbuko,9,m,focal_participant,ulindi,11,f,partner,bonobo,limbuko_ulindi,unequal,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,ulindi,12,f,partner,bonobo,limbuko_ulindi,unequal-part_1,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,ulindi,12,f,partner,bonobo,limbuko_ulindi,unequal-part_2,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,limbuko,9,m,focal_participant,yasa,7,f,partner,bonobo,limbuko_yasa,baseline_1,54,0.0,4,73.0
amici2012aversion,2,food_distribution,2005,1,20,limbuko,9,m,focal_participant,yasa,7,f,partner,bonobo,limbuko_yasa,baseline_2,47,0.0,7,47.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,yasa,8,f,partner,bonobo,limbuko_yasa,baseline_3,33,0.0,0,33.0
amici2012aversion,2,food_distribution,2005,1,20,limbuko,9,m,focal_participant,yasa,7,f,partner,bonobo,limbuko_yasa,equal,99,0.0,24,99.0
amici2012aversion,2,food_distribution,2005,1,24,limbuko,9,m,focal_participant,yasa,7,f,partner,bonobo,limbuko_yasa,unequal,122,0.0,22,122.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,yasa,8,f,partner,bonobo,limbuko_yasa,unequal-part_1,37,1.0,0,37.0
amici2012aversion,2,food_distribution,2005,11,9,limbuko,10,m,focal_participant,yasa,8,f,partner,bonobo,limbuko_yasa,unequal-part_2,40,0.0,0,40.0
amici2012aversion,2,food_distribution,2005,1,24,ulindi,11,f,focal_participant,joey,22,m,partner,bonobo,ulindi_joey,baseline_1,0,0.0,0,44.0
amici2012aversion,2,food_distribution,2005,1,20,ulindi,11,f,focal_participant,joey,22,m,partner,bonobo,ulindi_joey,baseline_2,0,0.0,0,102.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,joey,22,m,partner,bonobo,ulindi_joey,baseline_3,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,ulindi,11,f,focal_participant,joey,22,m,partner,bonobo,ulindi_joey,equal,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,ulindi,11,f,focal_participant,joey,22,m,partner,bonobo,ulindi_joey,unequal,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,joey,22,m,partner,bonobo,ulindi_joey,unequal-part_1,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,joey,22,m,partner,bonobo,ulindi_joey,unequal-part_2,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,ulindi,11,f,focal_participant,kuno,8,m,partner,bonobo,ulindi_kuno,baseline_1,0,0.0,0,42.0
amici2012aversion,2,food_distribution,2005,1,20,ulindi,11,f,focal_participant,kuno,8,m,partner,bonobo,ulindi_kuno,baseline_2,0,0.0,0,127.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,kuno,8,m,partner,bonobo,ulindi_kuno,baseline_3,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,ulindi,11,f,focal_participant,kuno,8,m,partner,bonobo,ulindi_kuno,equal,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,ulindi,11,f,focal_participant,kuno,8,m,partner,bonobo,ulindi_kuno,unequal,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,kuno,8,m,partner,bonobo,ulindi_kuno,unequal-part_1,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,kuno,8,m,partner,bonobo,ulindi_kuno,unequal-part_2,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,ulindi,11,f,focal_participant,limbuko,9,m,partner,bonobo,ulindi_limbuko,baseline_1,0,0.0,0,94.0
amici2012aversion,2,food_distribution,2005,1,24,ulindi,11,f,focal_participant,limbuko,9,m,partner,bonobo,ulindi_limbuko,baseline_2,0,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,limbuko,10,m,partner,bonobo,ulindi_limbuko,baseline_3,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,ulindi,11,f,focal_participant,limbuko,9,m,partner,bonobo,ulindi_limbuko,equal,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,ulindi,11,f,focal_participant,limbuko,9,m,partner,bonobo,ulindi_limbuko,unequal,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,limbuko,10,m,partner,bonobo,ulindi_limbuko,unequal-part_1,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,limbuko,10,m,partner,bonobo,ulindi_limbuko,unequal-part_2,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,ulindi,11,f,focal_participant,yasa,7,f,partner,bonobo,ulindi_yasa,baseline_1,0,0.0,0,86.0
amici2012aversion,2,food_distribution,2005,1,24,ulindi,11,f,focal_participant,yasa,7,f,partner,bonobo,ulindi_yasa,baseline_2,0,0.0,0,111.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,yasa,8,f,partner,bonobo,ulindi_yasa,baseline_3, ,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,ulindi,11,f,focal_participant,yasa,7,f,partner,bonobo,ulindi_yasa,equal,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,ulindi,11,f,focal_participant,yasa,7,f,partner,bonobo,ulindi_yasa,unequal,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,yasa,8,f,partner,bonobo,ulindi_yasa,unequal-part_1,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,ulindi,12,f,focal_participant,yasa,8,f,partner,bonobo,ulindi_yasa,unequal-part_2,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,yasa,7,f,focal_participant,kuno,8,m,partner,bonobo,yasa_kuno,baseline_1,52,0.0,2,52.0
amici2012aversion,2,food_distribution,2005,1,24,yasa,7,f,focal_participant,kuno,8,m,partner,bonobo,yasa_kuno,baseline_2,54,0.0,5,54.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,kuno,8,m,partner,bonobo,yasa_kuno,baseline_3,38,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,1,24,yasa,7,f,focal_participant,kuno,8,m,partner,bonobo,yasa_kuno,equal,97,0.0,9,97.0
amici2012aversion,2,food_distribution,2005,1,20,yasa,7,f,focal_participant,kuno,8,m,partner,bonobo,yasa_kuno,unequal,106,0.0,6,106.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,kuno,8,m,partner,bonobo,yasa_kuno,unequal-part_1,40,0.0,0,70.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,kuno,8,m,partner,bonobo,yasa_kuno,unequal-part_2,40,0.0,0,40.0
amici2012aversion,2,food_distribution,2005,1,24,yasa,7,f,focal_participant,limbuko,9,m,partner,bonobo,yasa_limbuko,baseline_1,73,0.0,0,73.0
amici2012aversion,2,food_distribution,2005,1,20,yasa,7,f,focal_participant,limbuko,9,m,partner,bonobo,yasa_limbuko,baseline_2,47,0.0,3,47.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,limbuko,10,m,partner,bonobo,yasa_limbuko,baseline_3,29,0.0,0,33.0
amici2012aversion,2,food_distribution,2005,1,20,yasa,7,f,focal_participant,limbuko,9,m,partner,bonobo,yasa_limbuko,equal,99,1.0,2,99.0
amici2012aversion,2,food_distribution,2005,1,24,yasa,7,f,focal_participant,limbuko,9,m,partner,bonobo,yasa_limbuko,unequal,122,0.0,21,122.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,limbuko,10,m,partner,bonobo,yasa_limbuko,unequal-part_1,37,0.0,0,37.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,limbuko,10,m,partner,bonobo,yasa_limbuko,unequal-part_2,40,0.0,0,40.0
amici2012aversion,2,food_distribution,2005,1,20,yasa,7,f,focal_participant,ulindi,11,f,partner,bonobo,yasa_ulindi,baseline_1,86,0.0, ,86.0
amici2012aversion,2,food_distribution,2005,1,24,yasa,7,f,focal_participant,ulindi,11,f,partner,bonobo,yasa_ulindi,baseline_1,86,0.0,9,86.0
amici2012aversion,2,food_distribution,2005,1,20,yasa,7,f,focal_participant,ulindi,11,f,partner,bonobo,yasa_ulindi,baseline_2,51,0.0,14,51.0
amici2012aversion,2,food_distribution,2005,1,24,yasa,7,f,focal_participant,ulindi,11,f,partner,bonobo,yasa_ulindi,baseline_2,111,0.0,0,111.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,ulindi,12,f,partner,bonobo,yasa_ulindi,baseline_3,38,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,ulindi,12,f,partner,bonobo,yasa_ulindi,baseline_3,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,yasa,7,f,focal_participant,ulindi,11,f,partner,bonobo,yasa_ulindi,equal,115,2.0,11,118.0
amici2012aversion,2,food_distribution,2005,1,24,yasa,7,f,focal_participant,ulindi,11,f,partner,bonobo,yasa_ulindi,equal,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,yasa,7,f,focal_participant,ulindi,11,f,partner,bonobo,yasa_ulindi,unequal,139,1.0,9,139.0
amici2012aversion,2,food_distribution,2005,1,20,yasa,7,f,focal_participant,ulindi,11,f,partner,bonobo,yasa_ulindi,unequal,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,ulindi,12,f,partner,bonobo,yasa_ulindi,unequal-part_1,37,0.0,0,37.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,ulindi,12,f,partner,bonobo,yasa_ulindi,unequal-part_1,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,ulindi,12,f,partner,bonobo,yasa_ulindi,unequal-part_2,40,1.0,4,40.0
amici2012aversion,2,food_distribution,2005,11,9,yasa,8,f,focal_participant,ulindi,12,f,partner,bonobo,yasa_ulindi,unequal-part_2,,,,0.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,alexandra,6,f,partner,chimpanzee,alex_alexandra,baseline_1,44,0.0,0,51.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,alexandra,6,f,partner,chimpanzee,alex_alexandra,baseline_2,41,0.0,0,41.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,alexandra,6,f,partner,chimpanzee,alex_alexandra,baseline_3,38,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,alexandra,6,f,partner,chimpanzee,alex_alexandra,equal,87,2.0,0,93.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,alexandra,6,f,partner,chimpanzee,alex_alexandra,unequal,105,0.0,0,119.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,alexandra,6,f,partner,chimpanzee,alex_alexandra,unequal-part_1,41,0.0,0,41.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,alexandra,6,f,partner,chimpanzee,alex_alexandra,unequal-part_2,42,0.0,0,42.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,annett,6,f,partner,chimpanzee,alex_annett,baseline_1,46,1.0,0,46.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,annett,6,f,partner,chimpanzee,alex_annett,baseline_2,44,0.0,0,56.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,annett,6,f,partner,chimpanzee,alex_annett,baseline_3,45,1.0,0,45.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,annett,6,f,partner,chimpanzee,alex_annett,equal,84,2.0,0,101.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,annett,6,f,partner,chimpanzee,alex_annett,unequal,87,4.0,0,95.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,annett,6,f,partner,chimpanzee,alex_annett,unequal-part_1,40,0.0,0,48.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,annett,6,f,partner,chimpanzee,alex_annett,unequal-part_2,44,0.0,0,44.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,fifi,12,f,partner,chimpanzee,alex_fifi,baseline_1,53,1.0,0,53.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,fifi,12,f,partner,chimpanzee,alex_fifi,baseline_2,34,0.0,0,45.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,fifi,12,f,partner,chimpanzee,alex_fifi,baseline_3,41,0.0,0,41.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,fifi,12,f,partner,chimpanzee,alex_fifi,equal,95,5.0,0,95.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,fifi,12,f,partner,chimpanzee,alex_fifi,unequal,110,1.0,0,121.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,fifi,12,f,partner,chimpanzee,alex_fifi,unequal-part_1,50,0.0,0,50.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,fifi,12,f,partner,chimpanzee,alex_fifi,unequal-part_2,41,0.0,0,41.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,gertrudia,12,f,partner,chimpanzee,alex_gertrudia,baseline_1,39,0.0,0,41.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,gertrudia,12,f,partner,chimpanzee,alex_gertrudia,baseline_2,45,6.0,0,47.0
amici2012aversion,2,food_distribution,2005,12,2,alex,4,m,focal_participant,gertrudia,12,f,partner,chimpanzee,alex_gertrudia,baseline_3,39,0.0,0,39.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,gertrudia,12,f,partner,chimpanzee,alex_gertrudia,equal,102,11.0,0,102.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,gertrudia,12,f,partner,chimpanzee,alex_gertrudia,unequal,72,1.0,0,72.0
amici2012aversion,2,food_distribution,2005,12,2,alex,4,m,focal_participant,gertrudia,12,f,partner,chimpanzee,alex_gertrudia,unequal-part_1,42,0.0,0,42.0
amici2012aversion,2,food_distribution,2005,12,2,alex,4,m,focal_participant,gertrudia,12,f,partner,chimpanzee,alex_gertrudia,unequal-part_2,52,3.0,0,52.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,jahaga,12,f,partner,chimpanzee,alex_jahaga,baseline_1,43,3.0,0,53.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,jahaga,12,f,partner,chimpanzee,alex_jahaga,baseline_2,49,0.0,0,51.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,jahaga,12,f,partner,chimpanzee,alex_jahaga,baseline_3,38,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,11,5,alex,4,m,focal_participant,jahaga,12,f,partner,chimpanzee,alex_jahaga,equal,97,0.0,0,104.0
amici2012aversion,2,food_distribution,2005,11,6,alex,4,m,focal_participant,jahaga,12,f,partner,chimpanzee,alex_jahaga,unequal,90,4.0,0,90.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,jahaga,12,f,partner,chimpanzee,alex_jahaga,unequal-part_1,40,0.0,0,40.0
amici2012aversion,2,food_distribution,2005,11,9,alex,4,m,focal_participant,jahaga,12,f,partner,chimpanzee,alex_jahaga,unequal-part_2,41,1.0,0,41.0
