"study_id","year","keywords","reference","abstract"
"amici2014calculated",2014,"Calculated reciprocity, Great apes, Capuchin monkeys, Spider monkeys, Altruism","Amici, F., Aureli, F., Mundry, R., Sanchez-Amaro, A., Barroso, A. M., Ferretti, J., & Call, J. (2014). Calculated reciprocity? A comparative test with six primate species. Primates, 55(3), 447-457. doi:10.1007/s10329-014-0424-4.","Little evidence of calculated reciprocity has been found in non-human primates so far. In this study, we used a simple experimental set-up to test whether partners pulled a sliding table to altruistically provide food to each other in short-term interactions. We tested 46 dyads of chimpanzees, bonobos, gorillas, orangutans, brown capu chin monkeys and spider monkeys to examine whether a subject’s tendency to provide food to a partner was directly affected by the partner’s previous behaviour, by the spe cies, by the condition (i.e., whether the partner could access the food provided by the subject) and by the social toler ance levels within each dyad. Chimpanzees and orangutans were the only species pulling significantly more when the partner could retrieve the food altruistically provided. However, no species reciprocated food exchanges, as subjects’ probability to pull was not affected by the pre vious number of the partner’s pulls, with the possible exception of one orangutan dyad. Although subjects clearly knew how the apparatus worked and easily obtained food for themselves, individuals did not usually take the opportunity to provide food to their partners, suggesting that calculated reciprocity is not a common behaviour and that food exchanges are usually not reciprocated in the short-term within dyads."
"amici2014lack",2014,"prosocial behaviour, primates, other-regarding, preferences, apes, monkeys","Amici, F., Visalberghi, E., & Call, J. (2014). Lack of prosociality in great apes, capuchin monkeys and spider monkeys: Convergent evidence from two different food distribution tasks. Proceedings of the Royal Society B: Biological Sciences, 281(1793): 20141699. doi:10.1098/rspb.2014.1699.","Prosociality can be defined as any behaviour performed to alleviate the needs of others or to improve their welfare. Prosociality has probably played an essential role in the evolution of cooperative behaviour and sev eral studies have already investigated it in primates to understand the evolutionary origins of human prosociality. Two main tasks have been used to test prosociality in a food context. In the Platforms task, subjects can prosocially provide food to a partner by selecting a prosocial platform over a selfish one. In the Tokens task, subjects can prosocially provide food to a partner by selecting a prosocial token over a selfish one. As these tasks have provided mixed results, we used both tasks to test prosoci ality in great apes, capuchin monkeys and spider monkeys. Our results provided no compelling evidence of prosociality in a food context in any of the species tested. Additionally, our study revealed serious limitations of the Tokens task as it has been previously used. These results highlight the importance of controlling for confounding variables and of using multiple tasks to address inconsistencies present in the literature"
"amici2014response",2014,"Contagious yawning, Chimpanzees, Great apes, Empathy, Response facilitation","Amici, F., Aureli, F., & Call, J. (2014). Response facilitation in the four great apes: Is there a role for empathy? Primates, 55(1), 113-118. doi:10.1007/s10329-013-0375-1.","Contagious yawning is a form of response facilitation found in humans and other primates in which observing a model yawning enhances the chance that the observer will also yawn. Because contagious yawning seems to be more easily triggered when models are conspecifics or have a strong social bond with the observer, it has been proposed that contagious yawning is linked to empathy. A possible way to test this hypothesis is to analyze whether individuals’ responses differ when they observe models yawning or performing different involuntary (i.e., nose wiping, scratching) and voluntary (i.e., hand closing, wrist shaking) actions that are not linked to empathy. In this study, we tested the four great ape species with two different setups by exposing them to a human experimenter repeatedly performing these actions online, and video-recorded conspecifics repeatedly performing these actions on a screen. We examined which behaviors were subject to response facilitation, whether response facilitation was triggered by both human models and video recorded conspecifics, and whether all species showed evidence of response facilitation. Our results showed that chimpanzees yawned significantly more when and shortly after watching videos of conspecifics (but not humans) yawning than in control conditions, and they did not do so as a response to increased levels of anxiety. For all other behaviors, no species produced more target actions when being exposed to either model than under control conditions. Moreover, the individuals that were more ‘‘reactive’’ when watching yawning videos were not more reactive when exposed to other actions. Since, at least in chimpanzees, (1) subjects only showed response facilitation when they were exposed to yawning and (2) only if models were conspecifics, it appears that contagious yawning is triggered by unique mechanisms and might be linked to empathy."
"amici2018social",2018,,"Amici, F., Call, J., Watzek, J., Brosnan, S., & Aureli, F. (2018). Social inhibition and behavioural flexibility when the context changes: A comparison across six primate species. Scientific Reports, 8: 3067. doi:10.1038/s41598-018-21496-6.","The ability to inhibit previously employed strategies and fexibly adjust behavioural responses to external conditions may be critical for individual survival. However, it is unclear which factors predict their distribution across species. Here, we investigated social inhibition and behavioural fexibility in six primate species (chimpanzees, bonobos, orangutans, gorillas, capuchin monkeys and spider monkeys) difering in terms of phylogenetic relatedness, foraging ecology and social organization. Depending on the social context, individuals could maximize their food intake by inhibiting the selection of a larger food reward in one condition (i.e. inhibition), but not in others, which required them to fexibly switching strategies across conditions (i.e. behavioural fexibility). Overall, our study revealed inter specifc diferences in social inhibition and behavioural fexibility, which partially refected diferences in fssion-fusion dynamics. In particular, orangutans and chimpanzees showed the highest level of inhibitory skills, while gorillas and capuchin monkeys showed the lowest one. In terms of behavioural fexibility, orangutans and spider monkeys were the best performers, while bonobos and capuchin monkeys were the worst ones. These results contribute to our understanding that inhibition and behavioural fexibility may be linked in more complex ways than usually thought, although both abilities play a crucial role in efcient problem solving"
"bandini2021individually",2021,"individual learning, nut-cracking, orangutan, social learning, tool-use","Bandini, E., Großmann, J., Funk, M., Albiach-Serrano, A., & Tennie, C. (2021). Naïve orangutans (Pongo abelii and Pongo pygmaeus) individually acquire nut-cracking using hammer tools. American Journal of Primatology, 83(9): e23304. doi:10.1002/ajp.23304.","Nut-cracking with hammer tools (henceforth: nut-cracking) has been argued to be one of the most complex tool-use behaviors observed in nonhuman animals. So far, only chimpanzees, capuchins, and macaques have been observed using tools to crack nuts in the wild (Boesch and Boesch, 1990; Gumert et al., 2009; Mannu and Ottoni, 2009). However, the learning mechanisms behind this behavior, and the extent of nut-cracking in other primate species are still unknown. The aim of this study was two-fold. First, we investigated whether another great ape species would develop nut-cracking when provided with all the tools and appropriate conditions to do so. Second, we examined the mechanisms behind the emergence of nut-cracking by testing a naive sample. Orangutans (Pongo abelii and Pongo pygmaeus) have the second most extensive tool-use repertoire among the great apes (after chimpanzees) and show flexible problem-solving capacities. Orangutans have not been observed cracking nuts in the wild, however, perhaps because their arboreal habits provide limited opportunities for nut-cracking. Therefore, orangutans are a valid candidate species for the investigation of the development of this behavior. Four nut-cracking- naive orangutans at Leipzig zoo (P. abelii; Mage = 16; age range = 10-19; 4F; at the time of testing) were provided with nuts and hammers but were not demonstrated the nut-cracking behavioral form. Additionally, we report data from a previously unpublished study by one of the authors (Martina Funk) with eight orangutans housed at Zürich zoo (six P. abelii and two P. pygmaeus; Mage = 14; age range = 2-30; 5F; at the time of testing) that followed a similar testing paradigm. Out of the twelve orangutans tested, at least four individuals, one from Leipzig (P. abelii) and three from Zürich (P. abelii and P. pygmaeus), spontaneously expressed nut-cracking using wooden hammers. These results demonstrate that nut-cracking can emerge in orangutans through individual learning and certain types of non-copying social learning."
"barth2006tracking",2006,"object permanence, inhibition, transpositions, rotations, spatial memory","Barth, J., & Call, J. (2006). Tracking the Displacement of Objects: A Series of Tasks With Great Apes (Pan troglodytes, Pan paniscus, Gorilla gorilla, and Pongo pygmaeus) and Young Children (Homo sapiens). Journal of Experimental Psychology: Animal Behavior Processes, 32(3), 239-252. doi:10.1037/0097-7403.32.3.239.","The authors administered a series of object displacement tasks to 24 great apes and 24 30-month-old children (Homo sapiens). Objects were placed under 1 or 2 of 3 cups by visible or invisible displacements. The series included 6 tasks: delayed response, inhibition test, A not B, rotations, transpositions, and object permanence. Apes and children solved most tasks performing at comparable levels except in the transposition task, in which apes performed better than children. Ape species performed at comparable levels in all tasks except in single transpositions, in which chimpanzees (Pan troglodytes) and bonobos (Pan paniscus) performed better than gorillas (Gorilla gorilla) and orangutans (Pongo pygmeaus). All species found nonadjacent trials and rotations especially difficult. The number of elements that changed locations, the type of displacement, and having to inhibit predominant reaching responses were factors that negatively affected the subjects’ performance"
"bohn2015communication",2015,"Comparative psychology, Pointing, Language development, Displacement","Bohn, M., Call, J., & Tomasello, M. (2015). Communication about absent entities in great apes and human infants. Cognition, 145, 63-72. doi:10.1016/j.cognition.2015.08.009.","There is currently debate about the extent to which non-linguistic beings such as human infants and great apes are capable of absent reference. In a series of experiments we investigated the flexibility and specificity of great apes’ (N = 36) and 12 month-old infants’ (N = 40) requests for absent entities. Subjects had the choice between requesting visible objects directly and using the former location of a depleted option to request more of these now-absent entities. Importantly, we systematically varied the quality of the present and absent options. We found that great apes as well as human infants flexibly adjusted their requests for absent entities to these contextual variations and only requested absent entities when the visible option was of lower quality than the absent option. These results suggest that the most basic cognitive capacities for absent reference do not depend on language and are shared by humans and their closest living relatives."
"bohn2016comprehension",2016,"Iconic gestures, Referential communication, Language development, Social cognition, Chimpanzees, Evolution","Bohn, M., Call, J., & Tomasello, M. (2016). Comprehension of iconic gestures by chimpanzees and human children. Journal of Experimental Child Psychology, 142, 1-17. doi:10.1016/j.jecp.2015.09.001.","Iconic gestures—communicative acts using hand or body move ments that resemble their referent—figure prominently in theories of language evolution and development. This study contrasted the abilities of chimpanzees (N = 11) and 4-year-old human children (N = 24) to comprehend novel iconic gestures. Participants learned to retrieve rewards from apparatuses in two distinct locations, each requiring a different action. In the test, a human adult informed the participant where to go by miming the action needed to obtain the reward. Children used the iconic gestures (more than arbitrary gestures) to locate the reward, whereas chimpanzees did not. Some children also used arbitrary gestures in the same way, but only after they had previously shown comprehension for iconic gestures. Over time, chimpanzees learned to associate iconic gestures with the appropriate location faster than arbitrary gestures, suggesting at least some recognition of the iconicity involved. These results demonstrate the importance of iconicity in referential communication"
"bohn2016role",2016,"communication, common ground, displacement, social cognition, great apes","Bohn, M., Call, J., & Tomasello, M. (2016). The role of past interactions in great apes' communication about absent entities. Journal of Comparative Psychology, 130(4), 351-357. doi:10.1037/com0000042.","Recent evidence suggests that great apes can use the former location of an entity to communicate about it. In this study we built on these findings to investigate the social– cognitive foundations of great apes’ communicative abilities. We tested whether great apes (n   35) would adjust their requests for absent entities to previous interactions they had with their interlocutor. We manipulated the apes’ experience with respect to the interlocutor’s knowledge about the previous content of the now-empty location as well as their experience with the interlocutor’s competence to provide additional food items. We found that apes adjusted their requests to both of these aspects but failed to integrate them with one another. These results demonstrate a surprising amount of flexibility in great apes’ communicative abilities while at the same time suggesting some important limitations in their social communicative skills."
"bohn2017information",2017,,"Bohn, M., Allritz, M., Call, J., & Völter, C. J. (2017). Information seeking about tool properties in great apes. Scientific Reports, 7: 10923. doi:10.1038/s41598-017-11400-z.","Evidence suggests that great apes engage in metacognitive information seeking for food items. To support the claim that a domain-general cognitive process underlies ape metacognition one needs to show that selective information seeking extends to non-food items. In this study, chimpanzees (Pan troglodytes) and orangutans (Pongo abelii) either had to determine the location of a desired food item or a property of a non-food item (length of a tool). We manipulated whether subjects received prior information about the item’s location or property. During the test, subjects had the opportunity to seek the respective information. Results show that apes engaged in more information seeking when they had no prior knowledge. Importantly, this selective pattern of information seeking applied to food as well as to tools."
"bohn2019natural",2019,"evolution, gesture, iconicity, language development, onomatopoeia, sound-symbolism","Bohn, M., Call, J., & Tomasello, M. (2019). Natural reference: A phylo- and ontogenetic perspective on the comprehension of iconic gestures and vocalizations. Developmental Science, 22(2): e12757. doi:10.1111/desc.12757.","The recognition of iconic correspondence between signal and referent has been argued to bootstrap the acquisition and emergence of language. Here, we study the ontogeny, and to some extent the phylogeny, of the ability to spontaneously relate iconic signals, gestures, and/or vocalizations, to previous experience. Children at 18, 24, and 36 months of age (N = 216) and great apes (N = 13) interacted with two apparatuses, each comprising a distinct action and sound. Subsequently, an experimenter mimicked either the action, the sound, or both in combination to refer to one of the apparatuses. Experiments 1 and 2 found no spontaneous comprehension in great apes and in 18-month- old children. At 24 months of age, children were successful with a composite vocalization-gesture signal but not with either vocalization or gesture alone. At 36 months, children succeeded both with a composite vocalization-gesture signal and with gesture alone, but not with vocalization alone. In general, gestures were understood better compared to vocalizations. Experiment 4 showed that gestures were understood irrespective of how children learned about the corresponding action (through observation or self-experience). This pattern of results demonstrates that iconic signals can be a powerful way to establish reference in the absence of language, but they are not trivial for children to comprehend and not all iconic signals are created equal."
"bohn2020learning",2020,"cultural learning, imitation, evolution, gesture, iconicity, open data, open materials, preregistered","Bohn, M., Kordt, C., Braun, M., Call, J., & Tomasello, M. (2020). Learning novel skills from iconic gestures: A developmental and evolutionary perspective. Psychological Science,31(7), 873-880.","Cumulative cultural learning has been argued to rely on high-fidelity copying of other individuals’ actions. Iconic gestures of actions have no physical effect on objects in the world but merely represent actions that would have an effect. Learning from iconic gestures thus requires paying close attention to the teacher’s precise bodily movements—a prerequisite for high-fidelity copying. In three studies, we investigated whether 2- and 3-year-old children (N = 122) and great apes (N = 36) learn novel skills from iconic gestures. When faced with a novel apparatus, participants watched an experimenter perform either an iconic gesture depicting the action necessary to open the apparatus or a gesture depicting a different action. Children, but not great apes, profited from iconic gestures, with older children doing so to a larger extent. These results suggest that high-fidelity copying abilities are firmly in place in humans by at least 3 years of age."
"bourjade2014bonobos",2014,"Future planning, Anticipation, Foresight, Non-human primate, Token exchange","Bourjade, M., Call, J., Pelé, M., Maumy, M., & Dufour, V. (2014). Bonobos and orangutans, but not chimpanzees, flexibly plan for the future in a token-exchange task. Animal Cognition, 17(6), 1329-1340. doi:10.1007/s10071-014-0768-6.","Non-human animals, including great apes, have been suggested to share some of the skills for planning that humans commonly exhibit. A crucial difference between human and non-human planning may relate to the diversity of domains and needs in which this skill is expressed. Although great apes can save tools for future use, there is little evidence yet that they can also do so in other contexts. To investigate this question further, we presented the apes with a planning token-exchange task that differed from standard tool-use tasks. Additionally, we manipulated the future outcome of the task to investigate planning flexibility. In the Exchange condition, subjects had to collect, save and transport tokens because they would need them 30 min later to exchange them for food with a human, i.e., ‘‘bring-back’’ response. In the Release condition, the collection and transport of tokens were not needed as no exchange took place after 30 min. Out of 13 subjects, eight solved the task at least once in the Exchange condition, with chimpanzees appearing less successful than the other species. Importantly, three individuals showed a clear differential response between conditions by producing more ‘‘bring-back’’ responses in the Exchange than in the Release conditions. Those bonobo and orangutan individuals hence adapted their planning behavior according to changing needs (i.e., they brought tokens back significantly more often when they would need them). Bonobos and orangutans, unlike chimpanzees, planned outside the context of tool-use, thus challenging the idea that planning in these species is purely domain-specific."
"brauer2005all",2005,"gaze-following, social cognition, joint attention","Bräuer, J., Call, J., & Tomasello, M. (2005). All great ape species follow gaze to distant locations and around barriers. Journal of Comparative Psychology, 119(2), 145-154. doi:10.1037/0735-7036.119.2.145.","Following the gaze direction of conspecifics is an adaptive skill that enables individuals to obtain useful information about the location of food, predators, and group mates. In the current study, the authors compared the gaze-following skills of all 4 great ape species. In the 1st experiment, a human either looked to the ceiling or looked straight ahead. Individuals from all species reliably followed the human’s gaze direction and sometimes even checked back when they found no target. In a 2nd experiment, the human looked behind some kind of barrier. Results showed that individuals from all species reliably put themselves in places from which they could see what the experimenter was looking at behind the barrier. These results support the hypothesis that great apes do not just orient to a target that another is oriented to, but they actually attempt to take the visual perspective of the other."
"brauer2006apes",2006,"inequity aversion, social cognition, joint attention","Bräuer, J., Call, J., & Tomasello, M. (2006). Are apes really inequity averse? Proceedings of the Royal Society of London / Series B, 273(1605), 3123-3128. doi:10.1098/rspb.2006.3693.","Brosnan et al. (Brosnan, S. F., Schiff, H. C. & deWaal, F. B. M. 2005 Tolerance for inequity may increase with social closeness in chimpanzees. Proc. R. Soc. B 272, 253–258) found that chimpanzees showed increased levels of rejection for less-preferred food when competitors received better food than themselves and postulated as an explanation inequity aversion. In the present study, we extended these findings by adding important control conditions, and we investigated whether inequity aversion could also be found in the other great ape species and whether it would be influenced by subjects’ relationship with the competitor. In the present study, subjects showed a pattern of food rejection opposite to the subjects of the above study by Brosnan et al. (2005). Our apes ignored fewer food pieces and stayed longer in front of the experimenter when a conspecific received better food than themselves. Moreover, chimpanzees begged more vigorously when the conspecific got favoured food. The most plausible explanation for these results is the food expectation hypothesis—seeing another individual receive high-quality food creates the expectation of receiving the same food oneself—and not inequity aversion."
"brauer2006making",2006,,"Bräuer, J., Kaminski, J., Riedel, J., Call, J., & Tomasello, M. (2006). Making inferences about the location of hidden food: Social dog - casual ape. Journal of Comparative Psychology, 120(1), 38-47. doi:10.1037/0735-7036.120.1.38.","Domestic dogs (Canis familiaris) and great apes from the genus Pan were tested on a series of object choice tasks. In each task, the location of hidden food was indicated for subjects by some kind of communicative, behavioral, or physical cue. On the basis of differences in the ecologies of these 2 genera, as well as on previous research, the authors hypothesized that dogs should be especially skillful in using human communicative cues such as the pointing gesture, whereas apes should be especially skillful in using physical, causal cues such as food in a cup making noise when it is shaken. The overall pattern of performance by the 2 genera strongly supported this social-dog, causal-ape hypothesis. This result is discussed in terms of apes’ adaptations for complex, extractive foraging and dogs’ adaptations, during the domestication process, for cooperative communication with humans."
