study_id,year,cognitive_domain,domain_no,general_domain,specific_domain
manrique2015age,2015,physical,1,tools_and_causality,ontogeny_innovation_and_planning
many2019establishing,2019,physical,1,space_and_objects,delayed_response
martin2008tubes,2008,physical,1,tools_and_causality,tool_features_and_functions
martin2009assessing,2009,physical,1,tools_and_causality,tool_features_and_functions
martin2010keeping,2010,physical,1,quantities_and_time,timing_discounting_and_delayed_gratification
martin2011memory,2011,physical,1,space_and_objects,travel_and_spatial_memory
martin2011memory,2011,physical,2,quantities_and_time,timing_discounting_and_delayed_gratification
martin2013memory,2013,physical,1,tools_and_causality,ontogeny_innovation_and_planning
moore2015production,2015,social,1,social_strategies_and_communication,intentional_communication:gestures
muhlenbeck2015gaze,2015,physical,1,features_and_categories,discrimination_learning
muhlenbeck2016differences,2016,physical,1,features_and_categories,discrimination_learning
muhlenbeck2017cultural,2017,physical,1,features_and_categories,discrimination_learning
munar2015common,2015,physical,1,features_and_categories,discrimination_learning
nolte2021targeted,2021,social,1,competition_and_cooperation,collaboration
parron2008behavioural,2008,physical,1,features_and_categories,picture_perception
poti2010searching,2010,physical,1,space_and_objects,space_landamarks_and_relations
rakoczy2014apes,2014,physical,1,quantities_and_time,counting_summation_and_proportions
romain2021non,2021,physical,1,quantities_and_time,risk_value_and_choice
russell2008image,2008,social,1,competition_and_cooperation,the_social_economy
russell2008image,2008,social,2,theory_of_mind_and_metacognition,understanding_goals_and_intentions
sabbatini2012understanding,2012,physical,1,tools_and_causality,tool_features_and_functions
sanchez2016chimpanzees,2016,social,1,competition_and_cooperation,collaboration
sanchez2016differences,2016,physical,1,quantities_and_time,counting_summation_and_proportions
sanchez2017chimpanzees,2017,social,1,competition_and_cooperation,collaboration
sanchez2018chimpanzees,2018,social,1,competition_and_cooperation,collaboration
sanchez2019chimpanzees,2019,social,1,competition_and_cooperation,collaboration
sanchez2019disentangling,2019,physical,1,quantities_and_time,estimating_numerousness
sanchez2021chimpanzees,2021,social,1,competition_and_cooperation,prosocial_behavior
scheumann2006sumatran,2006,physical,1,space_and_objects,travel_and_spatial_memory
schmelz2011chimpanzees,2011,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
schmelz2013chimpanzees,2013,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
schmelz2017chimpanzees,2017,social,1,competition_and_cooperation,prosocial_behavior
schmelz2020psychological,2020,social,1,competition_and_cooperation,prosocial_behavior
schmid2017great,2017,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
schmitt2013monkeys,2013,physical,1,quantities_and_time,conservation_of_quantities
seed2012chimpanzee,2012,physical,1,tools_and_causality,tool_features_and_functions
suda2004piagetian,2004,physical,1,quantities_and_time,conservation_of_quantities
suda2005piagetian,2005,physical,1,quantities_and_time,conservation_of_quantities
suda2006what,2006,physical,1,quantities_and_time,conservation_of_quantities
suda2006what,2006,social,2,theory_of_mind_and_metacognition,
tauzin2020context,2020,social,1,social_strategies_and_communication,communication_with_humans
tempelmann2013apes,2013,social,1,social_strategies_and_communication,communication_with_humans
tennie2006push,2006,social,1,social_learning_and_culture,social_learning_of_actions
tennie2009ratcheting,2009,social,1,social_learning_and_culture,primate_cultures
tennie2010evidence,2010,social,1,social_learning_and_culture,social_learning_of_actions
tennie2010two,2010,social,1,social_learning_and_culture,social_learning_of_actions
tennie2019chimpanzees,2019,physical,1,tools_and_causality,causal_inferences
uher2008coherence,2008,,1,temperament_and_personality,
uher2008great,2008,physical,1,quantities_and_time,estimating_numerousness
uher2008personality,2008,,1,temperament_and_personality,
vlamings2006great,2006,physical,1,quantities_and_time,estimating_numerousness
volter2012problem,2012,physical,1,tools_and_causality,causal_inferences
volter2014cognitive,2014,physical,1,tools_and_causality,tool_features_and_functions
volter2014great,2014,physical,1,tools_and_causality,causal_inferences
volter2014younger,2014,physical,1,space_and_objects,manual_detours_mazes_and_virtual_navigation
volter2015exploitation,2015,social,1,competition_and_cooperation,collaboration
volter2016great,2016,physical,1,tools_and_causality,causal_inferences
volter2018intuitive,2018,physical,1,tools_and_causality,causal_inferences
volter2019chimpanzees,2019,physical,1,space_and_objects,search_in_manipulative_space
wolf2019visually,2019,social,1,competition_and_cooperation,the_social_economy
wolf2020human,2020,social,1,competition_and_cooperation,the_social_economy
