study_id,participant,sex,role,participant_2,sex_2,role_2,present,species,dyad,session,trial,transfer_direct_partner_value,transfer_direct_no_value_token,transfer_direct_banana_peel,transfer_indirect_partner_value,transfer_indirect_no_value_token,transfer_indirect_banana_peel,transfer_passive_partner_value,transfer_passive_no_value_token,transfer_passive_banana_peel,catch_partner_value_token,catch_partner_no_value_token,catch_banana_peel,pointing_followed_by_valuable_token_transfer,pointing_followed_by_nonvaluable_token_transfer,pointing_followed_by_nothing,hand_beg_followed_by_valuable_token,hand_beg_followed_by_nonvaluable_token,hand_beg_followed_by_nothing,no_gesture_followed_by_valuable_token,no_gesture_followed_by_nonvaluable_token,alternations_general,alternations_valuable,pagai_to_bimbo,bimbo_to_pagai
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,10,,,1.0,,,,,,,,,,1,,16.0,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,11,,,,,,,,,,,,,,,,,,,10.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,12,,,,,,,,,,,,,,,3.0,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,1,3.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,2,,,,,,,,,,,,,,,5.0,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,3,,1.0,,,,1.0,,,,,,,1,1,10.0,1x_1gesture_1token_and_ 1x_1gesture_and_2tokens,,1.0,6.0,4.0,1,0,1x_transfer_indirect_no_value,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,4,,,,,,,,,,,,,,,4.0,1,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,5,,,,,,,,,,,,,1,,,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,6,,,,,,,,,,,,,,,,,,,1.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,7,,,,,,,,,,,,,,,3.0,,,,,2.0,0,0,2x_transfer_direct_partner_value_and_4x_transfer_indirect_partner_value,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,8,,,,,,,,,,,,,2,1x_1gesture_and_4tokens,24.0,,,,1.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,9,1.0,,1.0,,,,,,,,,,1x_1gesture_1token_and_ 1x_1gesture_and_2tokens,,6.0,,,,6.0,8.0,2,2,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,10,,,,,1.0,,,,,,,,,,4.0,,,,1.0,2.0,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,11,,,1.0,,,,,,,,,,3,,6.0,,,1.0,3.0,,1,1,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,3,12,,,,,,,,,,,,,,,3.0,,,,,,0,0,,1x_transfer_direct_no_value
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,1,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,2,1.0,,1.0,,,,,,,,,,1,,4.0,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,3,1.0,,,,1.0,,,,,,,,,,14.0,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,4,,,1.0,,,,,,,,,,,,4.0,,,,2.0,,0,0,1x_transfer_direct_partner_value_and_3x_transfer_passive_partner_value,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,5,2.0,,1.0,1.0,,,,,,,,,2,1,12.0,,,,2.0,,2,1,,2x_transfer_direct_partner_value
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,6,3.0,,2.0,,,,,,,,,,2x_1gesture_1token_and_ 1x_1gesture_and_2tokens,,15.0,,,,,,2,2,,3x_transfer_direct_banana_peel
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,7,,,,,,,,,,,,,,,10.0,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,8,,,1.0,,,1.0,,,,,,,1,,7.0,,,4.0,1.0,,1,1,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,9,1.0,,,,,,,,,,,,1,,2.0,,,1.0,1.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,10,,,,,,,,,,,,,,,,1,,,3.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,11,,,,,,,,,,,,,1,,2.0,,,,5.0,,1,1,1x_transfer_indirect_partner_value,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,4,12,,,,,,,,,,,,,,,4.0,,,,,,0,0,5x_transfer_direct_partner_value,1x_transfer_direct_banana_peel
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,1,,,,,,,,,,,,,,,,,,,3.0,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,2,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,3,3.0,,,2.0,,,2.0,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,4,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,5,1.0,,,,,,7.0,,,,,,,,,,,,,,1,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,6,,,,,,,3.0,,,,,,,,,,,,,,2,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,7,,,,1.0,,,5.0,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,8,,,,,,,6.0,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,9,,,,,,,4.0,,,,,,,,,,,,1.0,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,10,,,,,1.0,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,11,2.0,,,,,,3.0,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,1,12,3.0,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,1,5.0,1.0,,,,,8.0,,,,,,,,,,1,1.0,,,1,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,2,,1.0,,,,,,,,,,,,,,,,,1.0,,1,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,3,,,,1.0,,,3.0,,,1.0,,,,,,,,,1.0,,1,1,3x_transfer_direct_partner_value,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,4,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,5,,,,,,,2.0,,,,,,,,,,,,,,1,1,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,6,,,,,,,1.0,,,,,,,,,1.0,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,7,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,1,1,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,8,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,9,,,,,,,,,,,,,,,,,,,3.0,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,10,1.0,,,,,,,,,,,,,,,,,,1.0,,1,1,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,11,,,,9.0,,,1.0,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,2,12,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,1,,,,,,,1.0,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,2,,,,,,,,,,,,,,,,,,,3.0,1.0,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,3,4.0,,,6.0,5.0,,,,,,,,,,,,,,2.0,,2,1,1x_transfer_indirect_no_value,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,4,1.0,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,5,1.0,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,6,,1.0,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,7,,,,,2.0,,,,,,,,,,,,,,,,0,0,2x_transfer_direct_partner_value_and_4x_transfer_indirect_partner_value,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,8,1.0,,,,4.0,,2.0,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,9,1.0,,,,8.0,,8.0,,,,,,,,,,,,2.0,,1,1,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,10,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,1,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,11,1.0,,,1.0,,,4.0,,,,,,,,,,,,1.0,,1,1,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,3,12,,,,,,,,,,,,,,,,,,,,,0,0,,1x_transfer_direct_no_value
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,1,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,2,,,,,,,1.0,,,,,,,,,,,,2.0,,1,1,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,3,,,,,,,,,,,,,,,,,,,1.0,1.0,1,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,4,,,,,,,2.0,,,1.0,,,,,,,,,1.0,,1,1,1x_transfer_direct_partner_value_and_3x_transfer_passive_partner_value,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,5,2.0,,,1.0,,,2.0,1.0,,,,,,,,,,,3.0,,2,1,,2x_transfer_direct_partner_value
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,6,,,,,,,5.0,,,,,,,,,,,,5.0,,3,3,,3x_transfer_direct_banana_peel
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,7,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,8,2.0,,,,,,,,,,,,,,,,,,2.0,,2,2,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,9,2.0,,,,,,,,,,,,,,,,,,1.0,,1,1,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,10,,,,3.0,,,1.0,,,,,,,,,,,,,,0,0,,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,11,1.0,,,,,,5.0,,,,,,,,,,,,1.0,,1,1,1x_transfer_indirect_partner_value,
dufour2009calculated,dokana,f,giver,bimbo,m,receiver,pagai,orangutan,dokana_bimbo,4,12,,,,1.0,,,,,,,,,,,,,,,,,0,0,5x_transfer_direct_partner_value,1x_transfer_direct_banana_peel
