study_id,experiment_name,participant,age_in_years,sex,species,condition,choice,first_choice_in_phase3,event,behaviors,vocalizations
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,annett,17,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,daza,30,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,1,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,daza,30,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,daza,30,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,antisocial,fight,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,daza,30,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,dorien,36,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,2,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,dorien,36,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,dorien,36,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,prosocial,fight,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,dorien,36,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,frederike,42,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,2,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,frederike,42,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,frederike,42,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,prosocial,fight,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,frederike,42,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,frodo,23,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,frodo,23,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,frodo,23,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,prosocial,fight,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,frodo,23,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,jahaga,23,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,2,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,jahaga,23,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,jahaga,23,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,antisocial,fight,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,jahaga,23,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,kara,11,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,3,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,kara,11,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,kara,11,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,antisocial,fight,3,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,kara,11,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,kofi,11,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,kofi,11,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,kofi,11,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,antisocial,fight,4,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,kofi,11,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,lobo,12,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,4,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,lobo,12,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,lobo,12,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,antisocial,fight,4,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,lobo,12,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,lome,15,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,lome,15,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,lome,15,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,antisocial,fight,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,lome,15,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,natascha,36,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,3,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,natascha,36,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,natascha,36,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,prosocial,fight,2,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,natascha,36,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,riet,39,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,0,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,riet,39,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,riet,39,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,prosocial,fight,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,riet,39,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,robert,41,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,2,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,robert,41,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,robert,41,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,antisocial,fight,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,robert,41,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,sandra,23,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,sandra,23,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,sandra,23,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,prosocial,fight,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,sandra,23,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,tai,14,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,1,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,tai,14,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,tai,14,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,prosocial,fight,2,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,tai,14,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,ulla,39,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,ulla,39,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
